"ID","square_meters","bathrooms_number","lift","rooms_number","other_features","total_floors_in_building","car_parking","availability","condominium_fees","year_of_construction","conditions","zone","floor","heating_centralized","energy_efficiency_class","selling_price"
831,93,"1","yes","3","electric gate | optic fiber | video entryphone | security door | full day concierge | centralized tv system | cellar | window frames in glass / wood | double exposure","5","no","available","300",1960,"good condition / liveable","washington","mezzanine","central","g",399000
832,90,"2","yes","3","electric gate | optic fiber | video entryphone | alarm system | security door | internal exposure | balcony | terrace | centralized tv system | partially furnished | cellar | shared garden | window frames in double glass / wood","6","1 in garage/box","available","125",1989,"good condition / liveable","precotto","1","independent","e",390000
833,210,"2","yes","5","electric gate | optic fiber | alarm system | security door | closet | balcony | terrace | half-day concierge | centralized tv system | only kitchen furnished | cellar | private garden | window frames in double glass / wood | double exposure","6","2 in garage/box","available","750",1970,"good condition / liveable","sempione","5","central","g",1680000
834,65,"1","no","2","balcony | full day concierge | centralized tv system | furnished | cellar | window frames in double glass / pvcdouble exposure","3","no",NA,"No condominium fees",1960,"good condition / liveable","istria","3","central","b",269000
835,140,"2","yes","3","video entryphone | external exposure | balcony | full day concierge | centralized tv system | window frames in glass / wood","8","1 in garage/box","available","330",1971,"to be refurbished","giambellino","8","central",NA,550000
836,241,"3","yes","4","electric gate | optic fiber | video entryphone | security door | internal exposure | terrace | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / metal","4","no","available",NA,2025,"new / under construction","corso genova","4","central","a",2678000
837,133,"2","yes","3","electric gate | optic fiber | video entryphone | security door | closet | balcony | full day concierge | centralized tv system | shared garden | window frames in double glass / pvcdouble exposure","7","no","available","300",1960,"new / under construction","lodi - brenta","mezzanine","central","g",549000
838,110,"2","yes","3","optic fiber | video entryphone | security door | external exposure | balcony | centralized tv system | cellar | window frames in double glass / wood","3","no","available","115",1900,"good condition / liveable","guastalla","1","independent","f",850000
839,94,"1","yes","3","optic fiber | video entryphone | security door | balcony | full day concierge | centralized tv system | partially furnished | window frames in double glass / metal | double exposure","8","no","available",NA,1960,"good condition / liveable","pasteur","6","central","f",590000
840,38,"1","yes","1","electric gate | security door | internal exposure | balcony | half-day concierge | centralized tv system | partially furnished | cellar | window frames in double glass / pvc","7","1 in garage/box","available","200",1960,"excellent / refurbished","cascina dei pomi","6","central","g",180000
841,66,"1","yes","2","electric gate | optic fiber | video entryphone | security door | external exposure | terrace | full day concierge | centralized tv system | partially furnished | window frames in double glass / pvc","6","no","available","270",2010,"excellent / refurbished","solari","4","central","b",530000
842,57,"1","yes","2","optic fiber | security door | centralized tv system | partially furnished | cellar | shared garden | window frames in double glass / wood | double exposure","5","no","available",NA,1960,"excellent / refurbished","solari","mezzanine","central","g",416000
843,55,"1","no","2","optic fiber | half-day concierge | partially furnished | window frames in double glass / pvcdouble exposure","3","no",NA,NA,1900,"good condition / liveable","pasteur","2","central","f",209000
844,40,"1","yes","3","optic fiber | security door | external exposure | balcony | full day concierge | centralized tv system | window frames in double glass / pvc","8","no","available","150",1961,"new / under construction","vigentino - fatima","5","central","d",245000
845,89,"1","yes","2","electric gate | optic fiber | video entryphone | security door | closet | full day concierge | centralized tv system | window frames in double glass / pvcdouble exposure","2","no","available","200",1980,"good condition / liveable","giambellino","mezzanine","central","d",297000
846,80,"1","yes","2","security door | full day concierge | furnished | cellar | window frames in glass / wood","4","no",NA,"300",1900,"good condition / liveable","vercelli - wagner","mezzanine","central","g",490000
847,103,"1","yes","4","optic fiber | security door | external exposure | closet | balcony | centralized tv system | cellar | shared garden | window frames in double glass / pvc","5","1 in shared parking",NA,"250",1967,"excellent / refurbished","gallaratese","3","central","b",315000
848,100,"2","yes","3","electric gate | optic fiber | video entryphone | alarm system | security door | internal exposure | closet | balcony | half-day concierge | centralized tv system | partially furnished | cellar | shared garden | window frames in double glass / pvc","5","1 in shared parking","available","150",NA,"excellent / refurbished","guastalla","mezzanine","central","c",850000
849,95,"1","yes","2","optic fiber | video entryphone | security door | internal exposure | closet | balcony | full day concierge | single tv system | partially furnished | shared garden | window frames in double glass / pvc","4","no","available","250",1900,"good condition / liveable","scala - manzoni","3","independent","e",1650000
850,48,"1","yes","2","security door | balcony | full day concierge | centralized tv system | window frames in double glass / wood","5","no","available","100",1950,"excellent / refurbished","centrale","1","independent","e",335000
